"","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255","256","257","258","259","260","261","262","263","264","265","266","267","268","269","270","271","272","273","274","275","276","277","278","279","280","281","282","283","284","285","286","287","288","289","290","291","292","293","294","295","296"
"21",88.6,95.2,73.7,71.3,28.1,148.4,111.2,143.9,221.6,227.5,292.9,268.4,323.5,187.1,244,279.6,311.4,373,345,356.9,355.7,367,365.2,327.5,505.9,352.6,367.6,387.9,362.5,323.1,324.6,317.8,359.8,412.4,404.4,185.5,188,115,365.7,99.5,151.5,125.9,185.6,235.7,409.3,311.4,297.4,316.2,147.1,215.3,387.7,381.3,374,410,264.9,198.1,377.1,301.2,335.9,134.8,323.7,246.3,197.5,84.7,84.7,85.7,30.9,505.9,245.5,135.6,253.3,95.9,55.9,424.7,368.8,158,277.8,65.8,263.4,269.5,383.9,210.3,410.4,62.4,271.3,75.9,42.7,116.7,179.9,66.3,231,253.3,219.4,181.1,238.5,227.2,265.3,269.9,264.4,286.8,295.6,530.6,496.7,154.9,330.9,310.1,280.3,289,271.7,118.9,413.9,403.4,422.7,422.7,393,361.8,245,230,334.4,306.4,352.2,329.7,337.4,404.6,92,69.1,312.2,319.6,299.7,152.2,357.1,111.5,56.2,327.9,153.5,152.9,51.9,306.6,300.6,226.7,111.1,97.9,56.9,257.8,198.7,294,296.7,158.2
"35",105.2,111.8,70.1,67.7,43.3,175.8,107.6,120,218,223.9,289.3,264.8,319.9,183.6,229.1,232.7,304.7,369.4,341.4,353.3,352.1,363.5,361.6,323.9,467.1,349,364,378.8,358.9,276.3,300.8,294.5,313,367.7,369.4,138.6,141.1,68.1,362.2,95.9,148,122.3,182,232.1,364.6,304.8,293.8,312.6,175.6,211.7,378,377.8,370.4,368.2,261.3,161.1,339.5,297.7,298.1,151.5,320.1,242.7,193.9,101.4,101.4,102.3,47.2,467.1,241.9,184.2,249.7,133.9,104.5,380,365.2,178.6,230.9,15.8,216.5,262.9,337,206.8,367.7,79.1,267.7,124.5,91.3,165.3,196.6,83.6,227.4,249.7,215.8,177.5,234.9,180.3,261.8,263.3,249.1,243.9,248.8,491.8,457.9,108,327.3,306.5,276.7,273.7,268.1,115.3,369.1,362.1,378,378,369.8,358.3,198.1,226.4,330.8,302.8,348.6,326.1,333.8,359.9,108.7,19.1,308.6,308,296.1,195.4,353.5,107.9,90,324.3,106.6,169.6,48.4,303,297,179.8,159.7,130.9,73.5,254.2,195.1,290.4,290.1,154.6
"63",133.4,139.9,29.7,39.2,71.4,136,67.9,70.3,178.2,184.1,249.6,225,280.1,143.8,194.4,206,268,329.7,301.6,313.5,312.3,323.7,321.8,284.1,440.4,309.2,324.2,344.6,319.1,249.5,274.1,267.8,286.2,341,342.6,111.9,114.4,49.8,322.4,56.1,108.2,82.5,142.2,192.3,337.9,268,254,272.8,135.8,171.9,344.3,338,330.6,341.5,221.5,129.5,312.8,257.9,271.4,179.6,280.4,202.9,154.1,129.5,129.5,130.5,75.3,440.4,202.2,212.4,209.9,162,132.6,353.3,325.4,206.8,204.2,61.1,189.8,226.1,310.3,167,341,107.2,227.9,152.6,119.4,193.4,224.7,69,187.6,209.9,176,137.7,195.1,153.6,222,226.6,221,217.2,222,465,431.1,75.8,287.6,266.7,236.9,245.6,228.4,75.5,342.4,335.4,351.2,351.2,343.1,318.5,171.4,186.6,291,263,308.9,286.4,294,333.2,136.8,64.4,268.8,276.2,256.3,223.5,313.8,68.1,77.2,284.5,76.8,197.7,53.5,263.3,257.2,153.1,187.8,159.1,101.7,214.4,155.3,250.7,253.3,114.8
"67",182,188.6,78,88.5,120.1,114.3,37.9,6.1,157.4,163.3,228,203.4,259.3,89.5,120.2,168.6,213.6,308.8,280.8,292.7,291.5,302.8,301,263.3,403,275.5,299,310.9,285.4,212.2,226.8,219.9,248.9,303.6,305.2,75.5,75,71,301.5,47.6,53.7,60.8,74.4,170.7,300.5,213.6,233.2,238.4,114.1,151.1,310.6,304.3,296.9,304.1,200.7,55.2,275.4,226.5,234,228.3,259.5,182.1,133.2,178.2,178.2,179.1,124,403,147.8,261,189.1,210.7,181.3,315.9,300.1,255.4,166.8,125.3,145.1,171.7,272.9,146.1,303.6,155.9,207.1,201.3,168.1,242.1,273.4,112.6,166,189.1,121.6,83.3,140.7,112.7,167.6,172.2,166.5,161.3,184.7,427.7,393.8,39.4,266.7,242.8,216.1,191.1,207.5,53.8,305,298,313.9,313.9,305.7,284.8,134,165.8,270.2,218.8,288,261.1,260.3,295.8,185.5,128.6,233.5,221.8,233.1,272.2,292.9,38.2,120.8,263.7,40.4,246.3,102.2,225.4,225.9,114,236.5,207.7,150.3,193.6,134.5,229.8,198.9,94
"77",107.4,114,100.8,98.4,52.2,206.5,138.3,153.8,248.7,254.6,320,295.5,350.6,214.2,264.9,268.5,338.5,400.1,372.1,384,382.8,394.1,392.3,354.6,502.9,379.7,394.7,414.6,389.6,312.1,336.6,330.3,348.8,403.5,405.1,174.4,176.9,103.9,392.8,126.6,178.6,153,212.7,262.8,400.4,338.5,324.5,343.3,206.3,242.4,413.8,408.5,401.1,404,292,196.9,375.3,328.3,333.9,153.6,350.8,273.4,224.6,102.6,102.6,103.5,51.1,502.9,272.6,196,280.4,135.1,116.2,415.8,395.9,179.9,266.7,34.2,252.3,296.6,372.8,237.5,403.5,83.9,298.4,136.2,103,177.1,198.8,114.3,258.1,280.4,246.5,208.2,265.6,216.1,292.4,297,284.9,279.7,284.6,527.6,493.7,143.8,358,337.2,307.4,309.5,298.8,146,404.9,397.9,413.8,413.8,405.6,389,233.9,257.1,361.5,333.5,379.3,356.8,364.5,395.7,110.8,32.8,339.3,343.8,326.8,196.6,384.2,138.6,116.5,355,142.4,171.7,79,333.7,327.7,215.6,171.5,132.1,78.2,284.9,225.8,321.1,323.8,185.3
"89",186.4,193,103.6,113.1,124.4,149.2,72.8,39.6,192.3,198.2,263.7,239.1,294.2,128.7,131.1,134.8,206.8,327.3,315.8,327.6,312.9,331.8,335.9,273.4,369.1,264.4,292.1,280.8,269.6,178.3,202.8,196.5,215,269.7,271.4,40.6,43.1,41.2,336.5,82.6,93,95.8,108.4,206.4,266.6,206.8,227.9,231.6,149,186,280,286.2,285.8,270.2,235.6,61.5,241.5,219.7,200.1,232.6,282.3,217,168.2,182.6,182.6,183.5,128.3,369.1,181.4,265.4,224,215,185.6,282,293.3,259.8,132.9,102.7,118.6,164.9,239,181.1,269.7,160.3,242,205.6,172.4,246.5,277.8,142.9,201.7,224,160.9,122.6,151.4,82.3,178.1,165.3,151.1,145.9,150.8,393.8,359.9,5.2,277,236,251,175.7,242.5,88.7,271.2,264.1,280,280,271.9,269.1,100.1,200.7,286.8,212,294.6,254.3,249.2,261.9,189.8,106.1,226.6,210,226.3,276.5,327.9,73.2,151.1,298.6,5.4,250.7,127.4,218.5,219,81.8,240.9,212.1,154.7,228.5,169.5,264.8,192.1,128.9
"121",119.6,126.2,9,22.7,57.6,117.7,49.6,82.2,159.9,165.8,231.3,206.7,261.8,125.5,182.3,240.6,249.7,311.4,283.4,295.2,294,305.4,303.5,265.8,444.2,290.9,305.9,326.3,300.8,284.1,263,256.2,320.8,350.7,342.8,146.4,148.9,84.4,304.1,37.8,89.9,64.2,123.9,174,347.6,249.7,235.7,254.5,117.5,153.6,326,319.7,312.3,348.3,203.2,136.4,315.4,239.6,274.2,165.8,262.1,184.6,135.8,115.7,115.8,116.7,61.5,444.2,183.9,186.7,191.6,147,106.9,363,307.1,193,238.7,79.2,222.3,207.8,323.9,148.7,348.8,93.5,209.6,126.9,93.7,167.8,211,35.4,169.3,191.6,157.7,119.4,176.8,188.2,203.7,208.3,202.7,225.1,250.8,468.9,435,110.4,269.3,248.4,218.6,227.3,210.1,57.2,352.2,341.8,361,361,331.4,300.2,206,168.3,272.7,244.7,290.6,268.1,275.7,343,123,82.5,250.5,257.9,238,203.3,295.5,49.8,43.6,266.2,111.4,183.9,39.7,245,238.9,187.6,162.2,145.3,87.9,196.1,137,232.4,235,96.5
"141",144.1,150.6,73.8,83.3,82.1,179,102.6,69.4,222.1,228,293.5,268.9,324,158.5,163.2,166.8,238.8,359.4,345.6,357.4,344.9,363.9,365.7,305.4,401.2,296.5,324.2,312.9,301.7,210.4,234.9,228.6,247.1,301.8,303.4,72.7,75.2,2.2,366.3,100.2,122.8,125.5,140.6,236.2,298.7,238.8,260,263.7,178.8,215.8,312.1,318.3,317.9,302.3,265.4,95.2,273.6,251.7,232.2,190.3,314.4,246.8,198,140.2,140.2,141.2,86,401.2,213.5,223.1,253.8,172.7,143.3,314.1,325.4,217.5,165,60.4,150.6,197,271.1,210.9,301.8,117.9,271.8,163.3,130.1,204.1,235.4,113,231.5,253.8,190.7,152.4,183.4,114.4,210.1,197.4,183.2,178,182.8,425.9,392,42.2,309.1,268.1,280.8,207.8,272.3,118.5,303.2,296.2,312.1,312.1,303.9,301.1,132.2,230.5,318.9,244.1,326.7,286.3,281.3,294,147.5,63.7,258.7,242.1,258.4,234.2,357.7,102.9,121.3,328.4,40.7,208.4,87.2,250.6,251.1,113.9,198.5,169.8,112.4,258.3,199.2,294.6,224.2,158.7
"143",247.5,254.1,150,160.6,185.6,186.3,109.9,78.1,199.7,160.7,225.3,200.7,258.8,86.3,109,122.7,194.7,308,307.8,308.7,293.6,312.5,317,260.7,357.1,252.4,280.1,268.8,257.6,166.2,190.8,184.5,202.9,257.7,259.3,35.7,29,102.3,317.2,119.6,98.3,132.8,65,168.1,254.6,194.7,215.8,219.6,186.1,193.4,268,274.2,273.8,258.2,236.8,21.7,229.5,207.6,188.1,293.8,256.9,224.4,171.7,243.7,243.7,244.6,189.5,357.1,144.8,326.5,195.2,276.2,246.8,270,281.3,320.9,120.9,163.9,106.5,152.9,227,188.4,257.7,221.4,204.4,266.8,233.6,307.6,338.9,184.6,163.3,195.2,119,80.6,137.7,70.3,164.6,153.3,139.1,133.9,138.7,381.8,347.9,67,264.1,224,258.4,163.7,204.9,125.8,259.1,252.1,268,268,259.8,257,88.1,163.2,267.5,200,282.6,242.2,237.2,249.9,251,167.2,214.6,198,214.3,337.7,309,110.2,192.9,279.7,66.6,311.9,174.2,206.5,207,69.8,302,273.2,215.8,235.9,177.3,272.1,180.1,137.1
